"1级分类","1级功能描述","2级分类","2级功能描述","3级分类","3级功能描述","4级分类","4级功能描述","5级分类","5级功能描述","关键技术点","典型场景","优先级","Apstra支持状态","Apstra支持说明","CloudVision支持状态","CloudVision支持说明","iMaster NCE-Fabric + FabricInsight支持状态","iMaster NCE-Fabric + FabricInsight支持说明","AmpCon-DC（FS/Pica8）支持状态","AmpCon-DC（FS/Pica8）支持说明"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","全局态势","汇总多站点、多Fabric的规模、健康、性能、告警和变更状态。","多站点总览","对多站点总览相关状态、指标和关系进行集中展示与持续跟踪。","站点资源分布","站点资源分布用于持续展示和跟踪站点数、Fabric数、设备数、链路数、租户数。","站点数、Fabric数、设备数、链路数、租户数","明确站点资源分布覆盖的具体对象、状态或指标，包括站点数、Fabric数、设备数、链路数、租户数。","多站点数据汇聚、统一对象模型、健康与事件聚合、Dashboard；具体范围：站点数、Fabric数、设备数、链路数、租户数","NOC 多站点值守、跨 Fabric 健康巡检与运营态势汇报；关注：站点数、Fabric数、设备数、链路数、租户数","P1（重要）","支持","站点资源分布：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 站点数、Fabric数、设备数、链路数、租户数。","支持","站点资源分布：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 站点数、Fabric数、设备数、链路数、租户数。","支持","站点资源分布：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 站点数、Fabric数、设备数、链路数、租户数，仍需按目标版本、License 与 CloudEngine 型号核对。","不支持/未发现原生支持","站点资源分布：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 站点数、Fabric数、设备数、链路数、租户数；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","全局态势","汇总多站点、多Fabric的规模、健康、性能、告警和变更状态。","多站点总览","对多站点总览相关状态、指标和关系进行集中展示与持续跟踪。","站点健康状态","站点健康状态用于持续展示和跟踪正常、告警、故障、维护、未知。","正常、告警、故障、维护、未知","明确站点健康状态覆盖的具体对象、状态或指标，包括正常、告警、故障、维护、未知。","多站点数据汇聚、统一对象模型、健康与事件聚合、Dashboard；具体范围：正常、告警、故障、维护、未知","NOC 多站点值守、跨 Fabric 健康巡检与运营态势汇报；关注：正常、告警、故障、维护、未知","P1（重要）","部分支持","站点健康状态：Apstra 可覆盖部分对象或状态；完整字段、工作流或展示需定制 IBA、API、NOS Telemetry 或外部集成。","支持","站点健康状态：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 正常、告警、故障、维护、未知。","支持","站点健康状态：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 正常、告警、故障、维护、未知，仍需按目标版本、License 与 CloudEngine 型号核对。","不支持/未发现原生支持","站点健康状态：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 正常、告警、故障、维护、未知；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","全局态势","汇总多站点、多Fabric的规模、健康、性能、告警和变更状态。","多站点总览","对多站点总览相关状态、指标和关系进行集中展示与持续跟踪。","地理地图展示","地理地图展示用于持续展示和跟踪站点位置、跨站链路、区域告警。","站点位置、跨站链路、区域告警","明确地理地图展示覆盖的具体对象、状态或指标，包括站点位置、跨站链路、区域告警。","多站点数据汇聚、统一对象模型、健康与事件聚合、Dashboard；具体范围：站点位置、跨站链路、区域告警","NOC 多站点值守、跨 Fabric 健康巡检与运营态势汇报；关注：站点位置、跨站链路、区域告警","P1（重要）","部分支持","地理地图展示：Apstra 可覆盖部分对象或状态；完整字段、工作流或展示需定制 IBA、API、NOS Telemetry 或外部集成。","部分支持","地理地图展示：CloudVision 可提供部分遥测、事件或配置证据；覆盖 站点位置、跨站链路、区域告警 的完整产品化分析器、字段或闭环未核验。","部分支持/依组件、版本或硬件","地理地图展示：iMaster NCE-Fabric 可提供部分管理或状态数据，但覆盖 站点位置、跨站链路、区域告警 的完整字段、工作流或分析器未核验；需按目标版本、License、CloudEngine 型号及是否部署 FabricInsight 确认。","不支持/未发现原生支持","地理地图展示：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 站点位置、跨站链路、区域告警；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","全局态势","汇总多站点、多Fabric的规模、健康、性能、告警和变更状态。","Fabric总览","对Fabric总览相关状态、指标和关系进行集中展示与持续跟踪。","Fabric运行状态","Fabric运行状态用于持续展示和跟踪Active、Degraded、Failed、Maintenance。","Active、Degraded、Failed、Maintenance","明确Fabric运行状态覆盖的具体对象、状态或指标，包括Active、Degraded、Failed、Maintenance。","多站点数据汇聚、统一对象模型、健康与事件聚合、Dashboard；具体范围：Active、Degraded、Failed、Maintenance","NOC 多站点值守、跨 Fabric 健康巡检与运营态势汇报；关注：Active、Degraded、Failed、Maintenance","P1（重要）","支持","Fabric运行状态：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 Active、Degraded、Failed、Maintenance。","支持","Fabric运行状态：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 Active、Degraded、Failed、Maintenance。","支持","Fabric运行状态：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 Active、Degraded、Failed、Maintenance，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","Fabric运行状态：拓扑自动发现、实时设备/链路状态、交换机与端口下钻、Linux Host 可见性和历史回放可覆盖部分场景；未核验完整覆盖 Active、Degraded、Failed、Maintenance。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","全局态势","汇总多站点、多Fabric的规模、健康、性能、告警和变更状态。","Fabric总览","对Fabric总览相关状态、指标和关系进行集中展示与持续跟踪。","Fabric健康评分","Fabric健康评分用于持续展示和跟踪设备、链路、协议、配置、业务健康。","设备、链路、协议、配置、业务健康","明确Fabric健康评分覆盖的具体对象、状态或指标，包括设备、链路、协议、配置、业务健康。","多站点数据汇聚、统一对象模型、健康与事件聚合、Dashboard；具体范围：设备、链路、协议、配置、业务健康","NOC 多站点值守、跨 Fabric 健康巡检与运营态势汇报；关注：设备、链路、协议、配置、业务健康","P1（重要）","不支持/未发现原生支持","Fabric健康评分：截至 Apstra 6.1 官方资料，未发现基础产品提供该项完整原生分析器或产品化闭环；未将 Juniper DCA/Mist、外部系统或 NOS 单点能力计入。","不支持/未发现原生支持","Fabric健康评分：截至当前 CloudVision 官方资料，未发现基础 CloudVision 原生提供该项完整能力；未把 AVA、CV UNO、CV-CUE、DMF 或 EOS CLI/ASIC 单点能力直接计入。","部分支持/依组件、版本或硬件","Fabric健康评分：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 设备、链路、协议、配置、业务健康，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","不支持/未发现原生支持","Fabric健康评分：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 设备、链路、协议、配置、业务健康；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","全局态势","汇总多站点、多Fabric的规模、健康、性能、告警和变更状态。","Fabric总览","对Fabric总览相关状态、指标和关系进行集中展示与持续跟踪。","Fabric资源规模","Fabric资源规模用于持续展示和跟踪Spine、Leaf、Border、Server、VTEP。","Spine、Leaf、Border、Server、VTEP","明确Fabric资源规模覆盖的具体对象、状态或指标，包括Spine、Leaf、Border、Server、VTEP。","多站点数据汇聚、统一对象模型、健康与事件聚合、Dashboard；具体范围：Spine、Leaf、Border、Server、VTEP","NOC 多站点值守、跨 Fabric 健康巡检与运营态势汇报；关注：Spine、Leaf、Border、Server、VTEP","P1（重要）","支持","Fabric资源规模：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 Spine、Leaf、Border、Server、VTEP。","支持","Fabric资源规模：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 Spine、Leaf、Border、Server、VTEP。","支持","Fabric资源规模：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 Spine、Leaf、Border、Server、VTEP，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","Fabric资源规模：拓扑自动发现、实时设备/链路状态、交换机与端口下钻、Linux Host 可见性和历史回放可覆盖部分场景；未核验完整覆盖 Spine、Leaf、Border、Server、VTEP。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","全局态势","汇总多站点、多Fabric的规模、健康、性能、告警和变更状态。","核心指标看板","对核心指标看板相关状态、指标和关系进行集中展示与持续跟踪。","网络可用性","网络可用性用于持续展示和跟踪设备可用率、链路可用率、业务可用率。","设备可用率、链路可用率、业务可用率","明确网络可用性覆盖的具体对象、状态或指标，包括设备可用率、链路可用率、业务可用率。","多站点数据汇聚、统一对象模型、健康与事件聚合、Dashboard；具体范围：设备可用率、链路可用率、业务可用率","NOC 多站点值守、跨 Fabric 健康巡检与运营态势汇报；关注：设备可用率、链路可用率、业务可用率","P1（重要）","部分支持","网络可用性：Apstra 可覆盖部分对象或状态；完整字段、工作流或展示需定制 IBA、API、NOS Telemetry 或外部集成。","部分支持","网络可用性：CloudVision 可提供部分遥测、事件或配置证据；覆盖 设备可用率、链路可用率、业务可用率 的完整产品化分析器、字段或闭环未核验。","支持","网络可用性：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 设备可用率、链路可用率、业务可用率，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","网络可用性：拓扑自动发现、实时设备/链路状态、交换机与端口下钻、Linux Host 可见性和历史回放可覆盖部分场景；未核验完整覆盖 设备可用率、链路可用率、业务可用率。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","全局态势","汇总多站点、多Fabric的规模、健康、性能、告警和变更状态。","核心指标看板","对核心指标看板相关状态、指标和关系进行集中展示与持续跟踪。","性能指标","性能指标用于持续展示和跟踪带宽、吞吐、利用率、时延、丢包。","带宽、吞吐、利用率、时延、丢包","明确性能指标覆盖的具体对象、状态或指标，包括带宽、吞吐、利用率、时延、丢包。","多站点数据汇聚、统一对象模型、健康与事件聚合、Dashboard；具体范围：带宽、吞吐、利用率、时延、丢包","NOC 多站点值守、跨 Fabric 健康巡检与运营态势汇报；关注：带宽、吞吐、利用率、时延、丢包","P1（重要）","部分支持","性能指标：Apstra 可覆盖部分对象或状态；完整字段、工作流或展示需定制 IBA、API、NOS Telemetry 或外部集成。","部分支持","性能指标：CloudVision 可提供部分遥测、事件或配置证据；覆盖 带宽、吞吐、利用率、时延、丢包 的完整产品化分析器、字段或闭环未核验。","支持","性能指标：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 带宽、吞吐、利用率、时延、丢包，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","性能指标：拓扑自动发现、实时设备/链路状态、交换机与端口下钻、Linux Host 可见性和历史回放可覆盖部分场景；未核验完整覆盖 带宽、吞吐、利用率、时延、丢包。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","全局态势","汇总多站点、多Fabric的规模、健康、性能、告警和变更状态。","核心指标看板","对核心指标看板相关状态、指标和关系进行集中展示与持续跟踪。","告警指标","告警指标用于持续展示和跟踪当前、未确认、严重告警和趋势。","当前、未确认、严重告警和趋势","明确告警指标覆盖的具体对象、状态或指标，包括当前、未确认、严重告警和趋势。","多站点数据汇聚、统一对象模型、健康与事件聚合、Dashboard；具体范围：当前、未确认、严重告警和趋势","NOC 多站点值守、跨 Fabric 健康巡检与运营态势汇报；关注：当前、未确认、严重告警和趋势","P1（重要）","支持","告警指标：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 当前、未确认、严重告警和趋势。","支持","告警指标：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 当前、未确认、严重告警和趋势。","支持","告警指标：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 当前、未确认、严重告警和趋势，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","告警指标：拓扑自动发现、实时设备/链路状态、交换机与端口下钻、Linux Host 可见性和历史回放可覆盖部分场景；未核验完整覆盖 当前、未确认、严重告警和趋势。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","全局态势","汇总多站点、多Fabric的规模、健康、性能、告警和变更状态。","核心指标看板","对核心指标看板相关状态、指标和关系进行集中展示与持续跟踪。","变更指标","变更指标用于持续展示和跟踪待审批、执行中、失败、配置偏移。","待审批、执行中、失败、配置偏移","明确变更指标覆盖的具体对象、状态或指标，包括待审批、执行中、失败、配置偏移。","多站点数据汇聚、统一对象模型、健康与事件聚合、Dashboard；具体范围：待审批、执行中、失败、配置偏移","NOC 多站点值守、跨 Fabric 健康巡检与运营态势汇报；关注：待审批、执行中、失败、配置偏移","P1（重要）","部分支持","变更指标：Apstra 可覆盖部分对象或状态；完整字段、工作流或展示需定制 IBA、API、NOS Telemetry 或外部集成。","支持","变更指标：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 待审批、执行中、失败、配置偏移。","支持","变更指标：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 待审批、执行中、失败、配置偏移，仍需按目标版本、License 与 CloudEngine 型号核对。","不支持/未发现原生支持","变更指标：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 待审批、执行中、失败、配置偏移；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
