阶段,日期,天次,优先级,模块,视频编号,视频标题,时长,学习目标,完成情况
PMP备考期,2026/6/5,Day 1,主线,PMP,—,模拟考试 + 错题复习,全天,PMP冲刺,
PMP备考期,2026/6/5,Day 1,辅线,行业认知,P01,行业介绍（零基础小白必看）,10:51,了解通信行业全貌,
PMP备考期,2026/6/5,Day 1,辅线,行业认知,P02,网工学习路线图（零基础小白必看）,14:56,建立学习路径认知,
PMP备考期,2026/6/6,Day 2,主线,PMP,—,模拟考试 + 错题复习,全天,PMP冲刺,
PMP备考期,2026/6/6,Day 2,辅线,行业认知,P04,网工入门01-网工技术及工作薪资展示,9:48,了解网工职业价值,
PMP备考期,2026/6/6,Day 2,辅线,行业认知,P05,网工入门02-职业发展及岗位细分,10:59,了解网工岗位分类,
PMP备考期,2026/6/6,Day 2,辅线,行业认知,末尾,岗位介绍,8:27,对比岗位细分，加深认知,
PMP备考期,2026/6/7,Day 3,主线,PMP,—,模拟考试 + 错题复习,全天,PMP冲刺,
PMP备考期,2026/6/7,Day 3,辅线,网络基础,P08,网工入门05-基本网络通信原理,13:59,理解数据如何在网络中传输,
PMP备考期,2026/6/7,Day 3,辅线,网络基础,P24,数据通信01-网络参考模型（上）,9:53,OSI七层模型概念,
PMP备考期,2026/6/8,Day 4,主线,PMP,—,模拟考试 + 错题复习,全天,PMP冲刺,
PMP备考期,2026/6/8,Day 4,辅线,网络基础,P25,数据通信02-网络参考模型（下）,12:20,TCP/IP四层模型,
PMP备考期,2026/6/8,Day 4,辅线,网络基础,P33,数据通信10-IP协议原理,29:16:00,IP协议核心原理,
PMP备考期,2026/6/9,Day 5,主线,PMP,—,模拟考试 + 错题复习,全天,PMP冲刺,
PMP备考期,2026/6/9,Day 5,辅线,IP地址,P34,数据通信11-IP地址基础,10:38,IP地址结构,
PMP备考期,2026/6/9,Day 5,辅线,IP地址,P35,数据通信12-IP地址分类,20:09,A/B/C类地址区分,
PMP备考期,2026/6/10,Day 6,主线,PMP,—,模拟考试 + 错题复习,全天,PMP冲刺,
